朝楼,瘤痢,碍荐樊(mm)
2002-01-01,面巢,0.1
2002-01-02,面巢,0
2002-01-03,面巢,0
2002-01-04,面巢,0
2002-01-05,面巢,0
2002-01-06,面巢,0
2002-01-07,面巢,4.6
2002-01-08,面巢,0.5
2002-01-09,面巢,0
2002-01-10,面巢,0
2002-01-11,面巢,0
2002-01-12,面巢,0
2002-01-13,面巢,0
2002-01-14,面巢,0.8
2002-01-15,面巢,21.2
2002-01-16,面巢,9.7
2002-01-17,面巢,0.8
2002-01-18,面巢,0
2002-01-19,面巢,0
2002-01-20,面巢,7.3
2002-01-21,面巢,2.5
2002-01-22,面巢,0.1
2002-01-23,面巢,0
2002-01-24,面巢,0
2002-01-25,面巢,0
2002-01-26,面巢,4.8
2002-01-27,面巢,0.1
2002-01-28,面巢,0
2002-01-29,面巢,0
2002-01-30,面巢,0
2002-01-31,面巢,0
2002-02-01,面巢,0
2002-02-02,面巢,0
2002-02-03,面巢,0
2002-02-04,面巢,0
2002-02-05,面巢,0
2002-02-06,面巢,0
2002-02-07,面巢,0
2002-02-08,面巢,0
2002-02-09,面巢,0
2002-02-10,面巢,1
2002-02-11,面巢,1.6
2002-02-12,面巢,0
2002-02-13,面巢,0
2002-02-14,面巢,0
2002-02-15,面巢,0
2002-02-16,面巢,0
2002-02-17,面巢,0
2002-02-18,面巢,0
2002-02-19,面巢,0
2002-02-20,面巢,0
2002-02-21,面巢,3.8
2002-02-22,面巢,0
2002-02-23,面巢,0
2002-02-24,面巢,0
2002-02-25,面巢,0
2002-02-26,面巢,0
2002-02-27,面巢,0
2002-02-28,面巢,0
2002-03-01,面巢,0
2002-03-02,面巢,0
2002-03-03,面巢,0
2002-03-04,面巢,0
2002-03-05,面巢,5
2002-03-06,面巢,2
2002-03-07,面巢,0
2002-03-08,面巢,0
2002-03-09,面巢,0
2002-03-10,面巢,2.4
2002-03-11,面巢,0
2002-03-12,面巢,0
2002-03-13,面巢,0
2002-03-14,面巢,5
2002-03-15,面巢,0.1
2002-03-16,面巢,0
2002-03-17,面巢,0
2002-03-18,面巢,0
2002-03-19,面巢,0
2002-03-20,面巢,0
2002-03-21,面巢,11.8
2002-03-22,面巢,4
2002-03-23,面巢,0
2002-03-24,面巢,0
2002-03-25,面巢,0
2002-03-26,面巢,0
2002-03-27,面巢,0
2002-03-28,面巢,0
2002-03-29,面巢,0.1
2002-03-30,面巢,3.8
2002-03-31,面巢,0.1
2002-04-01,面巢,0
2002-04-02,面巢,0
2002-04-03,面巢,0
2002-04-04,面巢,0
2002-04-05,面巢,3.2
2002-04-06,面巢,15.9
2002-04-07,面巢,0
2002-04-08,面巢,0
2002-04-09,面巢,0
2002-04-10,面巢,0
2002-04-11,面巢,0
2002-04-12,面巢,1.9
2002-04-13,面巢,0
2002-04-14,面巢,0
2002-04-15,面巢,7.2
2002-04-16,面巢,53.8
2002-04-17,面巢,0
2002-04-18,面巢,0
2002-04-19,面巢,0
2002-04-20,面巢,0
2002-04-21,面巢,0
2002-04-22,面巢,0
2002-04-23,面巢,0
2002-04-24,面巢,0
2002-04-25,面巢,0
2002-04-26,面巢,0
2002-04-27,面巢,0
2002-04-28,面巢,0
2002-04-29,面巢,14.9
2002-04-30,面巢,56.8
2002-05-01,面巢,0.4
2002-05-02,面巢,2.3
2002-05-03,面巢,18.5
2002-05-04,面巢,0.4
2002-05-05,面巢,0
2002-05-06,面巢,27.9
2002-05-07,面巢,68.8
2002-05-08,面巢,0.2
2002-05-09,面巢,0
2002-05-10,面巢,0
2002-05-11,面巢,0
2002-05-12,面巢,0
2002-05-13,面巢,0
2002-05-14,面巢,1.1
2002-05-15,面巢,13.4
2002-05-16,面巢,1.6
2002-05-17,面巢,5
2002-05-18,面巢,2.4
2002-05-19,面巢,0
2002-05-20,面巢,0
2002-05-21,面巢,0
2002-05-22,面巢,0.4
2002-05-23,面巢,0
2002-05-24,面巢,0
2002-05-25,面巢,0
2002-05-26,面巢,0
2002-05-27,面巢,0
2002-05-28,面巢,0
2002-05-29,面巢,0
2002-05-30,面巢,2.2
2002-05-31,面巢,0.1
2002-06-01,面巢,0.2
2002-06-02,面巢,0
2002-06-03,面巢,0
2002-06-04,面巢,0.5
2002-06-05,面巢,0
2002-06-06,面巢,0
2002-06-07,面巢,0
2002-06-08,面巢,0
2002-06-09,面巢,0
2002-06-10,面巢,33.8
2002-06-11,面巢,2.1
2002-06-12,面巢,1.4
2002-06-13,面巢,0
2002-06-14,面巢,0
2002-06-15,面巢,0.7
2002-06-16,面巢,0
2002-06-17,面巢,0.1
2002-06-18,面巢,0
2002-06-19,面巢,0
2002-06-20,面巢,0
2002-06-21,面巢,0
2002-06-22,面巢,0
2002-06-23,面巢,11.7
2002-06-24,面巢,10.5
2002-06-25,面巢,0
2002-06-26,面巢,0
2002-06-27,面巢,0
2002-06-28,面巢,0
2002-06-29,面巢,0
2002-06-30,面巢,1.8
2002-07-01,面巢,12.8
2002-07-02,面巢,0.3
2002-07-03,面巢,0
2002-07-04,面巢,1.3
2002-07-05,面巢,45.5
2002-07-06,面巢,19.7
2002-07-07,面巢,0
2002-07-08,面巢,1
2002-07-09,面巢,1
2002-07-10,面巢,0
2002-07-11,面巢,0
2002-07-12,面巢,0
2002-07-13,面巢,0.1
2002-07-14,面巢,7.6
2002-07-15,面巢,0
2002-07-16,面巢,0
2002-07-17,面巢,0
2002-07-18,面巢,0
2002-07-19,面巢,54.1
2002-07-20,面巢,0.3
2002-07-21,面巢,0.5
2002-07-22,面巢,53
2002-07-23,面巢,19.8
2002-07-24,面巢,0
2002-07-25,面巢,0
2002-07-26,面巢,0.6
2002-07-27,面巢,0
2002-07-28,面巢,0
2002-07-29,面巢,0.2
2002-07-30,面巢,0.3
2002-07-31,面巢,0
2002-08-01,面巢,0
2002-08-02,面巢,0
2002-08-03,面巢,0.9
2002-08-04,面巢,0.4
2002-08-05,面巢,0.6
2002-08-06,面巢,136.7
2002-08-07,面巢,103.8
2002-08-08,面巢,3.9
2002-08-09,面巢,0.5
2002-08-10,面巢,32.9
2002-08-11,面巢,6.2
2002-08-12,面巢,9.1
2002-08-13,面巢,9.4
2002-08-14,面巢,12.8
2002-08-15,面巢,8.3
2002-08-16,面巢,2.1
2002-08-17,面巢,10.9
2002-08-18,面巢,0.5
2002-08-19,面巢,0.1
2002-08-20,面巢,0.8
2002-08-21,面巢,0
2002-08-22,面巢,17
2002-08-23,面巢,5.2
2002-08-24,面巢,0
2002-08-25,面巢,2.1
2002-08-26,面巢,0.8
2002-08-27,面巢,18.5
2002-08-28,面巢,1.2
2002-08-29,面巢,0
2002-08-30,面巢,1.3
2002-08-31,面巢,73.1
2002-09-01,面巢,10.8
2002-09-02,面巢,0
2002-09-03,面巢,0
2002-09-04,面巢,0
2002-09-05,面巢,1.6
2002-09-06,面巢,0
2002-09-07,面巢,0
2002-09-08,面巢,0
2002-09-09,面巢,0
2002-09-10,面巢,0
2002-09-11,面巢,0
2002-09-12,面巢,0
2002-09-13,面巢,0
2002-09-14,面巢,0.2
2002-09-15,面巢,15.8
2002-09-16,面巢,8.3
2002-09-17,面巢,0.1
2002-09-18,面巢,0
2002-09-19,面巢,0
2002-09-20,面巢,0
2002-09-21,面巢,0
2002-09-22,面巢,3.7
2002-09-23,面巢,3.2
2002-09-24,面巢,0
2002-09-25,面巢,0
2002-09-26,面巢,0
2002-09-27,面巢,0
2002-09-28,面巢,5.4
2002-09-29,面巢,10.2
2002-09-30,面巢,0.2
2002-10-01,面巢,0
2002-10-02,面巢,5.6
2002-10-03,面巢,0
2002-10-04,面巢,0
2002-10-05,面巢,34.8
2002-10-06,面巢,17.5
2002-10-07,面巢,0.9
2002-10-08,面巢,0
2002-10-09,面巢,0
2002-10-10,面巢,0
2002-10-11,面巢,0
2002-10-12,面巢,0
2002-10-13,面巢,0
2002-10-14,面巢,0
2002-10-15,面巢,11.1
2002-10-16,面巢,0
2002-10-17,面巢,0
2002-10-18,面巢,4.4
2002-10-19,面巢,0
2002-10-20,面巢,0.3
2002-10-21,面巢,0.3
2002-10-22,面巢,0
2002-10-23,面巢,0
2002-10-24,面巢,1.2
2002-10-25,面巢,0.1
2002-10-26,面巢,10.5
2002-10-27,面巢,0.8
2002-10-28,面巢,0.1
2002-10-29,面巢,0
2002-10-30,面巢,0
2002-10-31,面巢,0
2002-11-01,面巢,0
2002-11-02,面巢,3.3
2002-11-03,面巢,9.3
2002-11-04,面巢,0
2002-11-05,面巢,0
2002-11-06,面巢,0
2002-11-07,面巢,9.3
2002-11-08,面巢,2.3
2002-11-09,面巢,0
2002-11-10,面巢,0
2002-11-11,面巢,0
2002-11-12,面巢,0
2002-11-13,面巢,0.3
2002-11-14,面巢,0.6
2002-11-15,面巢,0
2002-11-16,面巢,0
2002-11-17,面巢,9.4
2002-11-18,面巢,0.8
2002-11-19,面巢,0
2002-11-20,面巢,0.8
2002-11-21,面巢,0
2002-11-22,面巢,0
2002-11-23,面巢,0
2002-11-24,面巢,0
2002-11-25,面巢,0
2002-11-26,面巢,2.2
2002-11-27,面巢,0
2002-11-28,面巢,0
2002-11-29,面巢,0.6
2002-11-30,面巢,0
2002-12-01,面巢,0
2002-12-02,面巢,0
2002-12-03,面巢,12.3
2002-12-04,面巢,7
2002-12-05,面巢,0
2002-12-06,面巢,0
2002-12-07,面巢,1.4
2002-12-08,面巢,5.7
2002-12-09,面巢,0
2002-12-10,面巢,0
2002-12-11,面巢,0.2
2002-12-12,面巢,0.5
2002-12-13,面巢,0
2002-12-14,面巢,0
2002-12-15,面巢,3
2002-12-16,面巢,6.7
2002-12-17,面巢,0
2002-12-18,面巢,0
2002-12-19,面巢,0
2002-12-20,面巢,0
2002-12-21,面巢,0
2002-12-22,面巢,0
2002-12-23,面巢,1.5
2002-12-24,面巢,1.2
2002-12-25,面巢,6.4
2002-12-26,面巢,0
2002-12-27,面巢,0
2002-12-28,面巢,0
2002-12-29,面巢,0
2002-12-30,面巢,0
2002-12-31,面巢,0
2003-01-01,面巢,0
2003-01-02,面巢,0
2003-01-03,面巢,4
2003-01-04,面巢,5.7
2003-01-05,面巢,0.1
2003-01-06,面巢,0
2003-01-07,面巢,0
2003-01-08,面巢,0
2003-01-09,面巢,0
2003-01-10,面巢,0
2003-01-11,面巢,0
2003-01-12,面巢,0
2003-01-13,面巢,0
2003-01-14,面巢,0
2003-01-15,面巢,0
2003-01-16,面巢,0
2003-01-17,面巢,0.2
2003-01-18,面巢,0
2003-01-19,面巢,0
2003-01-20,面巢,0.4
2003-01-21,面巢,0
2003-01-22,面巢,3.3
2003-01-23,面巢,0.3
2003-01-24,面巢,0
2003-01-25,面巢,0
2003-01-26,面巢,1.6
2003-01-27,面巢,3.9
2003-01-28,面巢,2.8
2003-01-29,面巢,0.3
2003-01-30,面巢,0.4
2003-01-31,面巢,0.2
2003-02-01,面巢,0.1
2003-02-02,面巢,0
2003-02-03,面巢,0
2003-02-04,面巢,0
2003-02-05,面巢,0
2003-02-06,面巢,0
2003-02-07,面巢,0
2003-02-08,面巢,10.5
2003-02-09,面巢,0.1
2003-02-10,面巢,0.7
2003-02-11,面巢,2.9
2003-02-12,面巢,0
2003-02-13,面巢,0
2003-02-14,面巢,0
2003-02-15,面巢,0
2003-02-16,面巢,0
2003-02-17,面巢,0
2003-02-18,面巢,0
2003-02-19,面巢,0
2003-02-20,面巢,0
2003-02-21,面巢,2
2003-02-22,面巢,30.7
2003-02-23,面巢,2.8
2003-02-24,面巢,0.7
2003-02-25,面巢,0
2003-02-26,面巢,0
2003-02-27,面巢,0
2003-02-28,面巢,0
2003-03-01,面巢,9
2003-03-02,面巢,2.8
2003-03-03,面巢,1.7
2003-03-04,面巢,0
2003-03-05,面巢,0
2003-03-06,面巢,7.1
2003-03-07,面巢,1.4
2003-03-08,面巢,0.2
2003-03-09,面巢,0
2003-03-10,面巢,0
2003-03-11,面巢,0
2003-03-12,面巢,0
2003-03-13,面巢,0
2003-03-14,面巢,0
2003-03-15,面巢,0.1
2003-03-16,面巢,7.2
2003-03-17,面巢,0.2
2003-03-18,面巢,0
2003-03-19,面巢,0
2003-03-20,面巢,0
2003-03-21,面巢,0.9
2003-03-22,面巢,0
2003-03-23,面巢,0
2003-03-24,面巢,0.2
2003-03-25,面巢,0
2003-03-26,面巢,0
2003-03-27,面巢,8.4
2003-03-28,面巢,0
2003-03-29,面巢,0
2003-03-30,面巢,0
2003-03-31,面巢,0
2003-04-01,面巢,0
2003-04-02,面巢,0
2003-04-03,面巢,0
2003-04-04,面巢,0
2003-04-05,面巢,0
2003-04-06,面巢,0
2003-04-07,面巢,13.7
2003-04-08,面巢,10.6
2003-04-09,面巢,0
2003-04-10,面巢,0
2003-04-11,面巢,10.2
2003-04-12,面巢,0.1
2003-04-13,面巢,0
2003-04-14,面巢,0
2003-04-15,面巢,0
2003-04-16,面巢,0
2003-04-17,面巢,0
2003-04-18,面巢,24.1
2003-04-19,面巢,7.1
2003-04-20,面巢,6.2
2003-04-21,面巢,0
2003-04-22,面巢,0.6
2003-04-23,面巢,19.7
2003-04-24,面巢,2.2
2003-04-25,面巢,46.3
2003-04-26,面巢,0
2003-04-27,面巢,0
2003-04-28,面巢,0
2003-04-29,面巢,45.5
2003-04-30,面巢,0
2003-05-01,面巢,0
2003-05-02,面巢,0
2003-05-03,面巢,0
2003-05-04,面巢,0
2003-05-05,面巢,0
2003-05-06,面巢,18.3
2003-05-07,面巢,33.5
2003-05-08,面巢,0.6
2003-05-09,面巢,0
2003-05-10,面巢,0
2003-05-11,面巢,0
2003-05-12,面巢,0
2003-05-13,面巢,0
2003-05-14,面巢,0
2003-05-15,面巢,0.2
2003-05-16,面巢,0
2003-05-17,面巢,0
2003-05-18,面巢,0
2003-05-19,面巢,0
2003-05-20,面巢,0
2003-05-21,面巢,0
2003-05-22,面巢,0
2003-05-23,面巢,0
2003-05-24,面巢,14.7
2003-05-25,面巢,26.5
2003-05-26,面巢,0
2003-05-27,面巢,0
2003-05-28,面巢,0
2003-05-29,面巢,10.4
2003-05-30,面巢,15.5
2003-05-31,面巢,0
2003-06-01,面巢,0
2003-06-02,面巢,0
2003-06-03,面巢,0
2003-06-04,面巢,0
2003-06-05,面巢,0
2003-06-06,面巢,0.8
2003-06-07,面巢,0
2003-06-08,面巢,0
2003-06-09,面巢,0
2003-06-10,面巢,0
2003-06-11,面巢,12.6
2003-06-12,面巢,14.5
2003-06-13,面巢,0.1
2003-06-14,面巢,1
2003-06-15,面巢,1.4
2003-06-16,面巢,0
2003-06-17,面巢,0
2003-06-18,面巢,0
2003-06-19,面巢,3
2003-06-20,面巢,0
2003-06-21,面巢,0.3
2003-06-22,面巢,0
2003-06-23,面巢,26.4
2003-06-24,面巢,0.3
2003-06-25,面巢,0.3
2003-06-26,面巢,0
2003-06-27,面巢,121.5
2003-06-28,面巢,1.4
2003-06-29,面巢,0
2003-06-30,面巢,0.2
2003-07-01,面巢,3.1
2003-07-02,面巢,7.4
2003-07-03,面巢,41.3
2003-07-04,面巢,1
2003-07-05,面巢,3.9
2003-07-06,面巢,13.5
2003-07-07,面巢,0.7
2003-07-08,面巢,9.3
2003-07-09,面巢,75.6
2003-07-10,面巢,14.2
2003-07-11,面巢,2.4
2003-07-12,面巢,12.5
2003-07-13,面巢,35.4
2003-07-14,面巢,0
2003-07-15,面巢,0
2003-07-16,面巢,0
2003-07-17,面巢,3.8
2003-07-18,面巢,36
2003-07-19,面巢,1.9
2003-07-20,面巢,7.1
2003-07-21,面巢,0.5
2003-07-22,面巢,76.6
2003-07-23,面巢,17.6
2003-07-24,面巢,4
2003-07-25,面巢,20.6
2003-07-26,面巢,0.3
2003-07-27,面巢,12.4
2003-07-28,面巢,26.1
2003-07-29,面巢,9.3
2003-07-30,面巢,0
2003-07-31,面巢,0
2003-08-01,面巢,0
2003-08-02,面巢,0
2003-08-03,面巢,0.8
2003-08-04,面巢,12.1
2003-08-05,面巢,0.4
2003-08-06,面巢,8.4
2003-08-07,面巢,24.7
2003-08-08,面巢,0
2003-08-09,面巢,0
2003-08-10,面巢,2.9
2003-08-11,面巢,3.7
2003-08-12,面巢,0
2003-08-13,面巢,0
2003-08-14,面巢,0
2003-08-15,面巢,0
2003-08-16,面巢,0.7
2003-08-17,面巢,3.8
2003-08-18,面巢,28.4
2003-08-19,面巢,69.6
2003-08-20,面巢,11.6
2003-08-21,面巢,26.9
2003-08-22,面巢,0.1
2003-08-23,面巢,0.8
2003-08-24,面巢,1.9
2003-08-25,面巢,5.7
2003-08-26,面巢,1.1
2003-08-27,面巢,53.1
2003-08-28,面巢,1.3
2003-08-29,面巢,0
2003-08-30,面巢,16.3
2003-08-31,面巢,2.6
2003-09-01,面巢,0
2003-09-02,面巢,10.6
2003-09-03,面巢,17.5
2003-09-04,面巢,0
2003-09-05,面巢,29.2
2003-09-06,面巢,0
2003-09-07,面巢,18.3
2003-09-08,面巢,16.9
2003-09-09,面巢,33.2
2003-09-10,面巢,0
2003-09-11,面巢,0.4
2003-09-12,面巢,42.6
2003-09-13,面巢,4.9
2003-09-14,面巢,0
2003-09-15,面巢,0
2003-09-16,面巢,0
2003-09-17,面巢,0
2003-09-18,面巢,15.8
2003-09-19,面巢,0.3
2003-09-20,面巢,1
2003-09-21,面巢,0
2003-09-22,面巢,0
2003-09-23,面巢,0
2003-09-24,面巢,0
2003-09-25,面巢,0
2003-09-26,面巢,0
2003-09-27,面巢,0
2003-09-28,面巢,0
2003-09-29,面巢,0
2003-09-30,面巢,0
2003-10-01,面巢,1.8
2003-10-02,面巢,0.1
2003-10-03,面巢,0
2003-10-04,面巢,0
2003-10-05,面巢,0
2003-10-06,面巢,0
2003-10-07,面巢,0
2003-10-08,面巢,0
2003-10-09,面巢,0
2003-10-10,面巢,0
2003-10-11,面巢,0
2003-10-12,面巢,1.4
2003-10-13,面巢,11.9
2003-10-14,面巢,0.2
2003-10-15,面巢,0
2003-10-16,面巢,0
2003-10-17,面巢,0
2003-10-18,面巢,0
2003-10-19,面巢,0
2003-10-20,面巢,0
2003-10-21,面巢,0.2
2003-10-22,面巢,0.9
2003-10-23,面巢,0
2003-10-24,面巢,0
2003-10-25,面巢,0
2003-10-26,面巢,0
2003-10-27,面巢,0
2003-10-28,面巢,7.5
2003-10-29,面巢,0
2003-10-30,面巢,0
2003-10-31,面巢,0
2003-11-01,面巢,0
2003-11-02,面巢,0
2003-11-03,面巢,0
2003-11-04,面巢,0
2003-11-05,面巢,0
2003-11-06,面巢,0
2003-11-07,面巢,0
2003-11-08,面巢,11.8
2003-11-09,面巢,0.1
2003-11-10,面巢,4.5
2003-11-11,面巢,5.2
2003-11-12,面巢,3.4
2003-11-13,面巢,0
2003-11-14,面巢,0
2003-11-15,面巢,1.3
2003-11-16,面巢,0
2003-11-17,面巢,0
2003-11-18,面巢,0
2003-11-19,面巢,0
2003-11-20,面巢,3.1
2003-11-21,面巢,0.1
2003-11-22,面巢,0
2003-11-23,面巢,0
2003-11-24,面巢,0
2003-11-25,面巢,1.7
2003-11-26,面巢,0.4
2003-11-27,面巢,7.4
2003-11-28,面巢,4.1
2003-11-29,面巢,0.4
2003-11-30,面巢,0
2003-12-01,面巢,0
2003-12-02,面巢,0
2003-12-03,面巢,0
2003-12-04,面巢,0
2003-12-05,面巢,5.2
2003-12-06,面巢,4
2003-12-07,面巢,0
2003-12-08,面巢,1.3
2003-12-09,面巢,0
2003-12-10,面巢,0
2003-12-11,面巢,0.6
2003-12-12,面巢,0.6
2003-12-13,面巢,0
2003-12-14,面巢,0
2003-12-15,面巢,0
2003-12-16,面巢,0.6
2003-12-17,面巢,2.8
2003-12-18,面巢,0
2003-12-19,面巢,0.2
2003-12-20,面巢,0
2003-12-21,面巢,0
2003-12-22,面巢,0
2003-12-23,面巢,0
2003-12-24,面巢,0
2003-12-25,面巢,0
2003-12-26,面巢,0
2003-12-27,面巢,0
2003-12-28,面巢,0
2003-12-29,面巢,0.3
2003-12-30,面巢,0
2003-12-31,面巢,0
2004-01-01,面巢,0
2004-01-02,面巢,3.3
2004-01-03,面巢,0
2004-01-04,面巢,0
2004-01-05,面巢,0
2004-01-06,面巢,0
2004-01-07,面巢,0
2004-01-08,面巢,0
2004-01-09,面巢,0
2004-01-10,面巢,0
2004-01-11,面巢,0
2004-01-12,面巢,1.9
2004-01-13,面巢,1.6
2004-01-14,面巢,0
2004-01-15,面巢,0
2004-01-16,面巢,0
2004-01-17,面巢,4.9
2004-01-18,面巢,2.6
2004-01-19,面巢,0.1
2004-01-20,面巢,1.5
2004-01-21,面巢,1.3
2004-01-22,面巢,0.5
2004-01-23,面巢,0.2
2004-01-24,面巢,0.3
2004-01-25,面巢,1
2004-01-26,面巢,0
2004-01-27,面巢,0
2004-01-28,面巢,0
2004-01-29,面巢,0
2004-01-30,面巢,0
2004-01-31,面巢,0
2004-02-01,面巢,0
2004-02-02,面巢,0
2004-02-03,面巢,0
2004-02-04,面巢,2.3
2004-02-05,面巢,1.6
2004-02-06,面巢,1.9
2004-02-07,面巢,0.4
2004-02-08,面巢,0
2004-02-09,面巢,0
2004-02-10,面巢,0
2004-02-11,面巢,0
2004-02-12,面巢,0
2004-02-13,面巢,0
2004-02-14,面巢,0.2
2004-02-15,面巢,0
2004-02-16,面巢,0
2004-02-17,面巢,0
2004-02-18,面巢,0
2004-02-19,面巢,0
2004-02-20,面巢,0
2004-02-21,面巢,10.9
2004-02-22,面巢,6.4
2004-02-23,面巢,0
2004-02-24,面巢,0
2004-02-25,面巢,0
2004-02-26,面巢,0
2004-02-27,面巢,0.4
2004-02-28,面巢,1.2
2004-02-29,面巢,0.5
2004-03-01,面巢,0
2004-03-02,面巢,0
2004-03-03,面巢,0.9
2004-03-04,面巢,1
2004-03-05,面巢,28.8
2004-03-06,面巢,0.5
2004-03-07,面巢,0
2004-03-08,面巢,0
2004-03-09,面巢,0
2004-03-10,面巢,0
2004-03-11,面巢,0
2004-03-12,面巢,0
2004-03-13,面巢,0
2004-03-14,面巢,0
2004-03-15,面巢,0
2004-03-16,面巢,0
2004-03-17,面巢,3.1
2004-03-18,面巢,0
2004-03-19,面巢,0
2004-03-20,面巢,0
2004-03-21,面巢,0.1
2004-03-22,面巢,1.1
2004-03-23,面巢,0
2004-03-24,面巢,0.2
2004-03-25,面巢,0
2004-03-26,面巢,0
2004-03-27,面巢,0
2004-03-28,面巢,0
2004-03-29,面巢,0.2
2004-03-30,面巢,0
2004-03-31,面巢,0
2004-04-01,面巢,9.9
2004-04-02,面巢,1.1
2004-04-03,面巢,0
2004-04-04,面巢,0
2004-04-05,面巢,0
2004-04-06,面巢,1.1
2004-04-07,面巢,0
2004-04-08,面巢,0
2004-04-09,面巢,0
2004-04-10,面巢,0
2004-04-11,面巢,0
2004-04-12,面巢,0
2004-04-13,面巢,0
2004-04-14,面巢,0
2004-04-15,面巢,0
2004-04-16,面巢,0
2004-04-17,面巢,0
2004-04-18,面巢,8.8
2004-04-19,面巢,5
2004-04-20,面巢,0
2004-04-21,面巢,0
2004-04-22,面巢,0.2
2004-04-23,面巢,0
2004-04-24,面巢,0
2004-04-25,面巢,0
2004-04-26,面巢,34.3
2004-04-27,面巢,10.5
2004-04-28,面巢,0
2004-04-29,面巢,0
2004-04-30,面巢,0
2004-05-01,面巢,0
2004-05-02,面巢,1.3
2004-05-03,面巢,17.5
2004-05-04,面巢,2
2004-05-05,面巢,0
2004-05-06,面巢,0
2004-05-07,面巢,0
2004-05-08,面巢,5.7
2004-05-09,面巢,27.2
2004-05-10,面巢,5.2
2004-05-11,面巢,0
2004-05-12,面巢,19.4
2004-05-13,面巢,0.6
2004-05-14,面巢,0
2004-05-15,面巢,1.8
2004-05-16,面巢,0
2004-05-17,面巢,0
2004-05-18,面巢,0
2004-05-19,面巢,0
2004-05-20,面巢,1
2004-05-21,面巢,2.9
2004-05-22,面巢,0
2004-05-23,面巢,0
2004-05-24,面巢,0
2004-05-25,面巢,0
2004-05-26,面巢,0
2004-05-27,面巢,0.6
2004-05-28,面巢,28.6
2004-05-29,面巢,0.2
2004-05-30,面巢,0.4
2004-05-31,面巢,0.2
2004-06-01,面巢,0
2004-06-02,面巢,0
2004-06-03,面巢,0
2004-06-04,面巢,0
2004-06-05,面巢,0
2004-06-06,面巢,0
2004-06-07,面巢,0.7
2004-06-08,面巢,4.8
2004-06-09,面巢,0
2004-06-10,面巢,0
2004-06-11,面巢,0
2004-06-12,面巢,0
2004-06-13,面巢,0
2004-06-14,面巢,0
2004-06-15,面巢,0
2004-06-16,面巢,0
2004-06-17,面巢,40.8
2004-06-18,面巢,0.5
2004-06-19,面巢,108.2
2004-06-20,面巢,57.4
2004-06-21,面巢,22.8
2004-06-22,面巢,36.2
2004-06-23,面巢,1.4
2004-06-24,面巢,1.8
2004-06-25,面巢,2.2
2004-06-26,面巢,1.6
2004-06-27,面巢,0
2004-06-28,面巢,0
2004-06-29,面巢,0
2004-06-30,面巢,0
